file	percent	reads	taxon_id	taxon_name
kaiju_out/Goleter_admare_HA4340-LM2.contig.out	38.880917	271	1224	Proteobacteria
kaiju_out/Goleter_admare_HA4340-LM2.contig.out	36.585365	255	1117	Cyanobacteria
kaiju_out/Goleter_admare_HA4340-LM2.contig.out	1.004304	7	201174	Actinobacteria
kaiju_out/Goleter_admare_HA4340-LM2.contig.out	0.143472	1	1239	Firmicutes
kaiju_out/Goleter_admare_HA4340-LM2.contig.out	0.000000	0	10239	Viruses
kaiju_out/Goleter_admare_HA4340-LM2.contig.out	5.451937	38	NA	cannot be assigned to a (non-viral) phylum
kaiju_out/Goleter_admare_HA4340-LM2.contig.out	17.934003	125	NA	unclassified
