Genus	Species	Strain ID	NCBI BioProject ID	NCBI SRA Run	BioSample	JGI IMG ID	# of Reads	N contigs	N50	Habitat	Location
Aetokthonos	hydrillicola	B3-Florida	PRJNA617093	SRP274198	SAMN14506227	3300036376				aquatic epiphyte	South Carolina, USA
Aphanocapsa	lilacina	HA4352-LM1	PRJNA677053	SRP296741	SAMN16773120	3300039303				cave rock wall	Hawaii, USA
Aphanocapsa	sp.	GSE-SYN-MK-11-07L	PRJNA621664	SRP259801	SAMN14515337	3300035009				desert wet wall	Utah, USA
Aphanothece	saxicola	GSE-SYN-MK-01-06B	PRJNA621658	SRP259793	SAMN14514842	3300035003				desert wet wall	Utah, USA
Aphanothece	sp.	CMT-3BRIN-NPC111	PRJNA617094	SRP274201	SAMN14504062	3300036407				desert soil	California, USA
Brasilonema	angustatum	HA4187-MV1	PRJNA617095	SRP274203	SAMN14504119	3300036389				tropical soil	Hawaii, USA
Brasilonema	octagenarum	HA4186-MV1	PRJNA621669	SRP259811	SAMN14514841	3300035014				on wood in tropics	Hawaii, USA
Calothrix	sp.	FI2-JRJ7	PRJNA617096	SRP274205	SAMN14506165	3300036390				desert soil	California, USA
Camptylonemopsis	sp.	HA7290-LM1	PRJNA621663	SRP259800	SAMN15739572	3300035008				cave rock wall	Hawaii, USA
Chroococcus	sp.	CMT-3BRIN-NPC107	PRJNA653492	SRP284468	SAMN15720690	3300037833				desert soil	California, USA
Crinalium	sp.	CMT-3BRINC-NPC48	PRJNA650881	SRP290115	SAMN14515903	3300038553				desert soil	California, USA
Cyanomagaritha	calcarea	GSE-NOS-MK-12-04C	PRJNA621661	SRP259795	SAMN15741799	3300035006				desert wet wall	Utah, USA
Cyanosarcina	radialis	HA8281-LM2	PRJNA653493	SRP284467	SAMN14515570	3300037834				cave rock wall	Hawaii, USA
Desmonostoc	geniculatum	HA4340-LM1	PRJNA621655	SRP259787	SAMN15720684	3300035000				cave rock wall	Hawaii, USA
Desmonostoc	vinosum	HA7617-LM4	PRJNA650882	SRP290116	SAMN14506231	3300038554				cave rock wall	Hawaii, USA
Drouetiella	hepatica	UHER 2000/2452	PRJNA617097	SRP274214	SAMN14506025	3300036391				rock surface	Slovakia
Gloeocapsa	sp.	UFS-A4-WI-NPMV-4B04	PRJNA617098	SRP274217	SAMN14514844	3300036443				desert soil	Utah, USA
Goleter	admare	HA4340-LM2	PRJNA621659	SRP259796	SAMN14505069	3300035004				cave rock wall	Hawaii, USA
Hassallia	sp.	WJT32-NPBG1	PRJNA617099	SRP274218	SAMN14515568	3300036392				desert soil	California, USA
Hernandeziana	sp.	ATA11-4-KO1	PRJNA621660	SRP259797	SAMN14505399	3300035005				desert soil	Chile
Iphinoe	sp.	HA4291-MV1	PRJNA617100	SRP274227	SAMN17056778	3300036393				tropical soil	Hawaii, USA
Kaiparowitsia	implicata	GSE-PSE-MK54-09C	PRJNA650883	SRP297694	SAMN14515918	3300038555				desert wet wall	Utah, USA
Kastovskya	adunca	ATA6-11-RM4	PRJNA621676	SRP259821	SAMN15720920	3300034631				desert soil	Chile
