JGI_ID	Genus	Species	Strain
20181105_1A	"Hernandeziana"	sp.	ATA11-4-KO1
20181109_4A	"Aphanocapsa"	sp.	GSE-SYN-MK-11-07L
20181031_5A	Aphanothece 	saxicola	GSE-SYN-MK-01-06B
20181204_8	Brasilonema 	octagenarum	HA4186-MV1
20181107_10A	Tolypothrix	carrinoi	HA7290-LM1
20181105_13A	Cyanomagaritha	calcarea	GSE-NOS-MK-12-04C
20181024_15A	Desmonostoc 	geniculatum 	HA4340-LM1
20181212_18i	Drouetiella 	lurida 	LUKESOVA 1986/6
20181031_20A	Goleter 	admare	HA4340-LM2
20181212_24i	Kastovskya	atacamensis	ATA6-11-RM4
20181012_27A	Lyngbya	sp.	HA4199-MV5
20181207_30	Myxacorys 	californica	WJT36-NPBG1
20181123_31	Myxacorys	chilensis	ATA2-1-KO14
20181029_32A	Nodosilinea	sp.	WJT8-NPBG4
20181120_34	Nostoc	indistinguendum	CM1-VF10
20181204_36	Oscillatoria	princeps	RMCB-10
20181109_37A	"Oscillatoria"	"tanganyikae"	FI-MK23
20181204_43	"Pleurocapsa"	"ercegoicii"	ATA3-5Q-KO4
20181029_55A	Tildeniella 	nuda	ZEHNDER 1965/U140
20181204_57	Timaviella	radians	GSE-UNK-7R
20181204_58	Timaviella	obliquedivisa	GSE-PSE-MK23-08B
20181105_59A	Tolypothrix 	brevis	GSE-NOS-MK-07-07A
20181128_60	Trichocoleus	desertorum	ATA4-8-CV12
20190111_54	Symplocastrum	torsivum	CPER-KK1
20190112_9	Calothrix	sp.	FI2-JRJ7
20190125_17	Drouetiella	hepatica	UHER "2000/2452"
20190125_19	Gloeocapsa	sp.	UFS-A4-WI-NPMV-4B04
20190125_22	Iphinoe	sp.	HA4291-MV1
20190125_33	Nostoc	desertorum	CM1-VF14
20190126_21	Hassallia	sp.	WJT32-NPBG1
20190126_45	Pleurocapsa	minor	HA4230-MV1
20190126_51	Scytonematopsis	contorta	HA4267-MV1
20190126_53	Stenomitos	rutilens	HA7619-LM2
20190130_11	Chroococcus	sp.	CMT-3BRIN-NPC107
20190130_2	Aetokthonos	hydrillicola	B3-Florida
20190130_49	Scytolyngbya	sp.	HA4215-MV1
20190130_56	Tildeniella	torsiva	"UHER 1998/13D"
20190130_7	Brasilonema	angustatum	HA4187-MV1
20190131_40	Pelatocladus	maniniholoensis "(+B/U) HA4357-MV3"
20190201_42	Plectolynbya	sp.	WJT66-NPBG17
20190201_50	Scytonema	hyalinum	WJT4-NPBG1
20190225_14	Cyanosarcina	radialis	HA8281-LM2
20190225_38	Pegethrix	bostrychoides	GSE-TBD4-15B
20190225_6	Aphanothece	sp.	CMT-3BRIN-NPC111
20181204_8	Brasilonema	octagenarum	HA4186-MV1
